DATE,TEMPERATURE
19-03-1999,27.31
20-03-1999,26.73
21-03-1999,26.57
22-03-1999,26.3
23-03-1999,26.94
24-03-1999,27.6
25-03-1999,29.26
26-03-1999,30.18
27-03-1999,27.88
28-03-1999,27.37
29-03-1999,27.57
30-03-1999,29.19
31-03-1999,30.01
01-04-1999,30.81
02-04-1999,30.79
03-04-1999,31.42
04-04-1999,33.23
05-04-1999,31.29
06-04-1999,30.3
07-04-1999,31.26
08-04-1999,31.85
09-04-1999,33.42
10-04-1999,33.26
11-04-1999,33.89
12-04-1999,34.37
13-04-1999,34.69
14-04-1999,33.76
15-04-1999,32.46
16-04-1999,30.56
17-04-1999,30.25
18-04-1999,30.29
19-04-1999,31.58
20-04-1999,32.35
21-04-1999,33.06
22-04-1999,33.88
23-04-1999,34.23
24-04-1999,34.48
25-04-1999,35.4
26-04-1999,35.92
27-04-1999,35.52
28-04-1999,35.85
29-04-1999,35.44
30-04-1999,36.59
01-05-1999,36.65
02-05-1999,38.01
03-05-1999,39.08
04-05-1999,38.72
05-05-1999,38.73
06-05-1999,38.95
07-05-1999,38.23
08-05-1999,37.37
09-05-1999,34.98
10-05-1999,33.32
11-05-1999,33.51
12-05-1999,35
13-05-1999,32.85
14-05-1999,30.19
15-05-1999,32.26
16-05-1999,34.54
17-05-1999,35.76
18-05-1999,33.7
19-05-1999,35.64
20-05-1999,35.76
21-05-1999,36.69
22-05-1999,37.62
23-05-1999,38.4
24-05-1999,37.29
25-05-1999,38.53
26-05-1999,38.53
27-05-1999,36.73
28-05-1999,36.48
29-05-1999,36.95
30-05-1999,36.35
31-05-1999,37.66
01-06-1999,38.12
02-06-1999,38.06
03-06-1999,38.37
04-06-1999,36.18
05-06-1999,37.25
06-06-1999,38.3
07-06-1999,38.04
08-06-1999,40.31
09-06-1999,41.08
10-06-1999,38.53
11-06-1999,33.51
12-06-1999,32.42
13-06-1999,35.12
14-06-1999,38.72
15-06-1999,39.39
16-06-1999,35.22
17-06-1999,37.27
18-06-1999,37.98
19-06-1999,37.46
20-06-1999,36.89
21-06-1999,36.56
22-06-1999,34.48
23-06-1999,33.18
24-06-1999,34.33
25-06-1999,35.8
26-06-1999,36.38
27-06-1999,32.64
28-06-1999,30.1
29-06-1999,32.98
30-06-1999,33.57
01-07-1999,33.58
02-07-1999,33.2
03-07-1999,32.38
04-07-1999,33.8
05-07-1999,33.86
06-07-1999,34.73
07-07-1999,32.44
08-07-1999,34.22
09-07-1999,34.38
10-07-1999,31.89
11-07-1999,28.83
12-07-1999,28.11
13-07-1999,31.29
14-07-1999,31.59
15-07-1999,31.74
16-07-1999,32.05
17-07-1999,31.48
18-07-1999,30.79
19-07-1999,31.27
20-07-1999,30.21
21-07-1999,31.17
22-07-1999,30.26
23-07-1999,31.26
24-07-1999,30.15
25-07-1999,30.8
26-07-1999,32.51
27-07-1999,30.98
28-07-1999,30.31
29-07-1999,28.85
30-07-1999,28.37
31-07-1999,30.89
01-08-1999,32.59
02-08-1999,30.04
03-08-1999,31.34
04-08-1999,31.25
05-08-1999,32.06
06-08-1999,32.19
07-08-1999,31.83
08-08-1999,31.65
09-08-1999,31.4
10-08-1999,31.68
11-08-1999,31.43
12-08-1999,29.45
13-08-1999,27.39
14-08-1999,27.36
15-08-1999,29.46
16-08-1999,29.44
17-08-1999,29.71
18-08-1999,29.44
19-08-1999,29.93
20-08-1999,30.9
21-08-1999,31.08
22-08-1999,29.46
23-08-1999,29.38
24-08-1999,29.79
25-08-1999,27.35
26-08-1999,26.55
27-08-1999,28.83
28-08-1999,29.73
29-08-1999,28.96
30-08-1999,27.71
31-08-1999,27.7
01-09-1999,27.51
02-09-1999,28.04
03-09-1999,29.21
04-09-1999,29.65
05-09-1999,28.68
06-09-1999,28.55
07-09-1999,29.71
08-09-1999,29.19
09-09-1999,28.79
10-09-1999,28.36
11-09-1999,27.97
12-09-1999,27.75
13-09-1999,28.16
14-09-1999,28.36
15-09-1999,27.12
16-09-1999,28.24
17-09-1999,28.86
18-09-1999,29.26
19-09-1999,30.1
20-09-1999,29.75
21-09-1999,28.94
22-09-1999,28.87
23-09-1999,29.12
24-09-1999,27.29
25-09-1999,27.38
26-09-1999,28.68
27-09-1999,29.02
28-09-1999,27.09
29-09-1999,28.46
30-09-1999,30.16
01-10-1999,29.04
02-10-1999,27.34
03-10-1999,26.95
04-10-1999,27.41
05-10-1999,26.98
06-10-1999,26.5
07-10-1999,27.16
08-10-1999,27.3
09-10-1999,26.01
10-10-1999,25.04
11-10-1999,24.94
12-10-1999,24.74
13-10-1999,25.18
14-10-1999,26.16
15-10-1999,27.24
16-10-1999,27.77
17-10-1999,27.21
18-10-1999,24.57
19-10-1999,23.33
20-10-1999,25.23
21-10-1999,25.54
22-10-1999,25.43
23-10-1999,25.58
24-10-1999,26.01
25-10-1999,26.17
26-10-1999,25.51
27-10-1999,25.77
28-10-1999,26.77
29-10-1999,28.28
30-10-1999,27.97
31-10-1999,27.02
01-11-1999,27.63
02-11-1999,27.4
03-11-1999,27.69
04-11-1999,26.76
05-11-1999,25.74
06-11-1999,24.19
07-11-1999,23.26
08-11-1999,23.2
09-11-1999,21.01
10-11-1999,19.42
11-11-1999,19.73
12-11-1999,20.18
13-11-1999,19.91
14-11-1999,19.25
15-11-1999,19.69
16-11-1999,20.29
17-11-1999,20.65
18-11-1999,19.99
19-11-1999,18.85
20-11-1999,18.31
21-11-1999,18.62
22-11-1999,18.78
23-11-1999,18.62
24-11-1999,16.86
25-11-1999,18.51
26-11-1999,20.15
27-11-1999,18.65
28-11-1999,18.27
29-11-1999,18.02
30-11-1999,18.62
01-12-1999,19.87
02-12-1999,19.55
03-12-1999,18.91
04-12-1999,18.49
05-12-1999,18.18
06-12-1999,18.25
07-12-1999,18.12
08-12-1999,19.31
09-12-1999,20.11
10-12-1999,19.15
11-12-1999,18.67
12-12-1999,17.23
13-12-1999,16
14-12-1999,16.12
15-12-1999,15.94
16-12-1999,14.95
17-12-1999,15.2
18-12-1999,16.03
19-12-1999,16.33
20-12-1999,16.19
21-12-1999,15.72
22-12-1999,16.01
23-12-1999,16.02
24-12-1999,15.3
25-12-1999,16.76
26-12-1999,17.62
27-12-1999,17.37
28-12-1999,16.75
29-12-1999,16.01
30-12-1999,14.39
31-12-1999,14.28
01-01-2000,14.62
02-01-2000,14.87
03-01-2000,14.51
04-01-2000,13.92
05-01-2000,14.05
06-01-2000,13.92
07-01-2000,13.55
08-01-2000,14.1
09-01-2000,14.63
10-01-2000,15.86
11-01-2000,16.75
12-01-2000,17.18
13-01-2000,18.51
14-01-2000,18.95
15-01-2000,18.23
16-01-2000,17.29
17-01-2000,13.44
18-01-2000,13.39
19-01-2000,15.13
20-01-2000,16.09
21-01-2000,16.53
22-01-2000,17.23
23-01-2000,17.76
24-01-2000,17.58
25-01-2000,17.24
26-01-2000,17.65
27-01-2000,18.33
28-01-2000,20.04
29-01-2000,17.86
30-01-2000,16.98
31-01-2000,16.99
01-02-2000,18.4
02-02-2000,19.79
03-02-2000,18.91
04-02-2000,18.95
05-02-2000,19.63
06-02-2000,19.88
07-02-2000,19.66
08-02-2000,18.73
09-02-2000,17.69
10-02-2000,17.27
11-02-2000,19.44
12-02-2000,20.37
13-02-2000,19.96
14-02-2000,18.05
15-02-2000,17.61
16-02-2000,19.01
17-02-2000,19.05
18-02-2000,18.44
19-02-2000,18.27
20-02-2000,18.57
21-02-2000,19.39
22-02-2000,20.4
23-02-2000,19.82
24-02-2000,18.62
25-02-2000,18.28
26-02-2000,17.61
27-02-2000,17.86
28-02-2000,19.59
29-02-2000,20.87
01-03-2000,21.75
02-03-2000,23.9
03-03-2000,24.41
04-03-2000,25.28
05-03-2000,26.01
06-03-2000,25.23
07-03-2000,25.31
08-03-2000,26.18
09-03-2000,22.75
10-03-2000,22.07
11-03-2000,23.32
12-03-2000,24.52
13-03-2000,26.43
14-03-2000,26.28
15-03-2000,23.76
16-03-2000,23.43
17-03-2000,24.05
18-03-2000,25.68
19-03-2000,26.3
20-03-2000,24.3
21-03-2000,25.09
22-03-2000,27.44
23-03-2000,24.03
24-03-2000,25.82
25-03-2000,25.85
26-03-2000,26.4
27-03-2000,27.47
28-03-2000,28.22
29-03-2000,29.01
30-03-2000,29.11
31-03-2000,29.44
01-04-2000,31.75
02-04-2000,32.22
03-04-2000,30.09
04-04-2000,30.51
05-04-2000,31.12
06-04-2000,31.33
07-04-2000,30.06
08-04-2000,31.45
09-04-2000,31.47
10-04-2000,31.21
11-04-2000,31.07
12-04-2000,31.43
13-04-2000,32.05
14-04-2000,31.79
15-04-2000,32.2
16-04-2000,32.82
17-04-2000,33.42
18-04-2000,33.74
19-04-2000,33.67
20-04-2000,34.98
21-04-2000,35.23
22-04-2000,34.42
23-04-2000,36.9
24-04-2000,35.05
25-04-2000,33.73
26-04-2000,34.27
27-04-2000,34
28-04-2000,33.46
29-04-2000,34.12
30-04-2000,33.72
01-05-2000,34.14
02-05-2000,33.62
03-05-2000,34.21
04-05-2000,35.23
05-05-2000,35.35
06-05-2000,36.97
07-05-2000,33.11
08-05-2000,33.11
09-05-2000,35.73
10-05-2000,37.78
11-05-2000,39.4
12-05-2000,40.58
13-05-2000,41.07
14-05-2000,40.44
15-05-2000,41.05
16-05-2000,38.71
17-05-2000,36.91
18-05-2000,37.3
19-05-2000,40.01
20-05-2000,32.9
21-05-2000,30.45
22-05-2000,33.29
23-05-2000,33.97
24-05-2000,36.37
25-05-2000,37.05
26-05-2000,37.63
27-05-2000,36.9
28-05-2000,36.03
29-05-2000,37.31
30-05-2000,35.98
31-05-2000,35.51
01-06-2000,36.05
02-06-2000,35.94
03-06-2000,36.78
04-06-2000,38.2
05-06-2000,35.63
06-06-2000,29.93
07-06-2000,29.31
08-06-2000,28.58
09-06-2000,31.63
10-06-2000,32.87
11-06-2000,34.16
12-06-2000,34.13
13-06-2000,34.64
14-06-2000,33.98
15-06-2000,31.26
16-06-2000,32.26
17-06-2000,33.23
18-06-2000,31.9
19-06-2000,30.79
20-06-2000,30.41
21-06-2000,30.91
22-06-2000,28.06
23-06-2000,30.34
24-06-2000,31.05
25-06-2000,31.55
26-06-2000,31.97
27-06-2000,30.35
28-06-2000,29.69
29-06-2000,30.41
30-06-2000,30.36
01-07-2000,29.83
02-07-2000,29.51
03-07-2000,31.07
04-07-2000,32.98
05-07-2000,33.12
06-07-2000,31.19
07-07-2000,29.74
08-07-2000,31.28
09-07-2000,31.36
10-07-2000,29.73
11-07-2000,29.36
12-07-2000,29.81
13-07-2000,30.18
14-07-2000,29.14
15-07-2000,30.27
16-07-2000,30.92
17-07-2000,31.8
18-07-2000,29.76
19-07-2000,29.9
20-07-2000,29.04
21-07-2000,28.58
22-07-2000,29.38
23-07-2000,28.3
24-07-2000,29.58
25-07-2000,30.07
26-07-2000,29.45
27-07-2000,29.42
28-07-2000,29.88
29-07-2000,28.71
30-07-2000,30.62
31-07-2000,28.86
01-08-2000,27.86
02-08-2000,27.61
03-08-2000,28.81
04-08-2000,29.37
05-08-2000,29.95
06-08-2000,31.05
07-08-2000,30.2
08-08-2000,29.94
09-08-2000,29.56
10-08-2000,28.53
11-08-2000,28.02
12-08-2000,28.5
13-08-2000,28.55
14-08-2000,29.66
15-08-2000,29.54
16-08-2000,29.3
17-08-2000,29.65
18-08-2000,30.05
19-08-2000,30.51
20-08-2000,30.04
21-08-2000,28.27
22-08-2000,30.74
23-08-2000,31.06
24-08-2000,30.72
25-08-2000,31.3
26-08-2000,32.05
27-08-2000,31.86
28-08-2000,30.37
29-08-2000,28.33
30-08-2000,27.98
31-08-2000,28.55
01-09-2000,27.92
02-09-2000,27.58
03-09-2000,27.94
04-09-2000,28.31
05-09-2000,28.29
06-09-2000,27.87
07-09-2000,27.51
08-09-2000,27.52
09-09-2000,26.47
10-09-2000,27.25
11-09-2000,27.77
12-09-2000,27.37
13-09-2000,28.56
14-09-2000,27.8
15-09-2000,26.33
16-09-2000,26.26
17-09-2000,27.32
18-09-2000,25.92
19-09-2000,26.36
20-09-2000,25.03
21-09-2000,24.74
22-09-2000,24.33
23-09-2000,26.14
24-09-2000,26.97
25-09-2000,26.75
26-09-2000,26.45
27-09-2000,26.34
28-09-2000,25.99
29-09-2000,25.58
30-09-2000,25.17
01-10-2000,26.52
02-10-2000,27.2
03-10-2000,27.23
04-10-2000,26.46
05-10-2000,26.26
06-10-2000,26.55
07-10-2000,27.22
08-10-2000,27.55
09-10-2000,27.65
10-10-2000,28.01
11-10-2000,27.3
12-10-2000,25.9
13-10-2000,24.02
14-10-2000,23.83
15-10-2000,24.4
16-10-2000,24.75
17-10-2000,26.5
18-10-2000,26.02
19-10-2000,25.18
20-10-2000,25.34
21-10-2000,25.63
22-10-2000,25.8
23-10-2000,25.55
24-10-2000,24.83
25-10-2000,24.32
26-10-2000,25.55
27-10-2000,25.16
28-10-2000,25.59
29-10-2000,25.1
30-10-2000,23.98
31-10-2000,23.92
01-11-2000,23.85
02-11-2000,24.38
03-11-2000,24.09
04-11-2000,24.2
05-11-2000,22.85
06-11-2000,21.5
07-11-2000,20.85
08-11-2000,20.71
09-11-2000,20.71
10-11-2000,21.14
11-11-2000,20.74
12-11-2000,21.27
13-11-2000,21.68
14-11-2000,21.12
15-11-2000,20.28
16-11-2000,20.38
17-11-2000,20.4
18-11-2000,20.55
19-11-2000,20.65
20-11-2000,20.54
21-11-2000,21.37
22-11-2000,21.61
23-11-2000,21.25
24-11-2000,20.25
25-11-2000,18.88
26-11-2000,18.68
27-11-2000,18.19
28-11-2000,18.87
29-11-2000,19.37
30-11-2000,17.99
01-12-2000,16.29
02-12-2000,15.65
03-12-2000,16
04-12-2000,15.18
05-12-2000,14.76
06-12-2000,14.8
07-12-2000,15.19
08-12-2000,14.9
09-12-2000,13.84
10-12-2000,14.15
11-12-2000,14.08
12-12-2000,13.62
13-12-2000,13.62
14-12-2000,13.76
15-12-2000,14.55
16-12-2000,14.35
17-12-2000,15.06
18-12-2000,14.74
19-12-2000,15.36
20-12-2000,14.68
21-12-2000,14.9
22-12-2000,14.76
23-12-2000,15.27
24-12-2000,16.48
25-12-2000,17.19
26-12-2000,16.75
27-12-2000,15.92
28-12-2000,16.1
29-12-2000,15.37
30-12-2000,14.9
31-12-2000,16.59
01-01-2001,17.79
02-01-2001,18.01
03-01-2001,16.19
04-01-2001,15.12
05-01-2001,14.37
06-01-2001,13.55
07-01-2001,12.6
08-01-2001,12.75
09-01-2001,13.04
10-01-2001,12.35
11-01-2001,11.58
12-01-2001,11.88
13-01-2001,12.65
14-01-2001,13.11
15-01-2001,13.58
16-01-2001,13.8
17-01-2001,13.17
18-01-2001,12.98
19-01-2001,13.71
20-01-2001,14.13
21-01-2001,13.76
22-01-2001,15.69
23-01-2001,16.03
24-01-2001,14.69
25-01-2001,11.97
26-01-2001,11.9
27-01-2001,12.63
28-01-2001,13.4
29-01-2001,14.28
30-01-2001,15.9
31-01-2001,17.41
01-02-2001,18.59
02-02-2001,17.9
03-02-2001,14.39
04-02-2001,14.64
05-02-2001,16.5
06-02-2001,16.55
07-02-2001,14.98
08-02-2001,14.99
09-02-2001,15.48
10-02-2001,15.87
11-02-2001,14.63
12-02-2001,14.76
13-02-2001,16.7
14-02-2001,17.22
15-02-2001,19.94
16-02-2001,22.91
17-02-2001,22.48
18-02-2001,22.57
19-02-2001,22.16
20-02-2001,20.9
21-02-2001,20.54
22-02-2001,21.63
23-02-2001,22.08
24-02-2001,22.58
25-02-2001,22.22
26-02-2001,24.55
27-02-2001,23.74
28-02-2001,24.21
01-03-2001,23.87
02-03-2001,23.28
03-03-2001,22.15
04-03-2001,21.81
05-03-2001,22.77
06-03-2001,22.02
07-03-2001,23.22
08-03-2001,22.64
09-03-2001,23.07
10-03-2001,23.48
11-03-2001,24.26
12-03-2001,23.98
13-03-2001,24.44
14-03-2001,24.98
15-03-2001,26.44
16-03-2001,27.44
17-03-2001,25.49
18-03-2001,26.08
19-03-2001,27.31
20-03-2001,29.81
21-03-2001,30.86
22-03-2001,28.19
23-03-2001,29.58
24-03-2001,27.41
25-03-2001,28.05
26-03-2001,29.01
27-03-2001,29.26
28-03-2001,29.05
29-03-2001,30.1
30-03-2001,30.71
31-03-2001,32.5
01-04-2001,32.55
02-04-2001,29.89
03-04-2001,30.24
04-04-2001,30.37
05-04-2001,31.19
06-04-2001,32.98
07-04-2001,32.98
08-04-2001,30.66
09-04-2001,31.7
10-04-2001,33.02
11-04-2001,33.11
12-04-2001,34.07
13-04-2001,32.16
14-04-2001,32.89
15-04-2001,34.15
16-04-2001,32.82
17-04-2001,28.85
18-04-2001,30.66
19-04-2001,31.48
20-04-2001,31.82
21-04-2001,31.59
22-04-2001,31.23
23-04-2001,32.46
24-04-2001,33.73
25-04-2001,33.78
26-04-2001,35
27-04-2001,36.1
28-04-2001,36.63
29-04-2001,35.94
30-04-2001,35.73
01-05-2001,37.07
02-05-2001,35.74
03-05-2001,36.89
04-05-2001,35.29
05-05-2001,36.2
06-05-2001,35.92
07-05-2001,36.35
08-05-2001,37.56
09-05-2001,34.21
10-05-2001,34.02
11-05-2001,34.02
12-05-2001,36.02
13-05-2001,36.64
14-05-2001,35.57
15-05-2001,34.03
16-05-2001,37.08
17-05-2001,36.62
18-05-2001,35.01
19-05-2001,36.49
20-05-2001,37.14
21-05-2001,36.8
22-05-2001,37.09
23-05-2001,37.69
24-05-2001,38.61
25-05-2001,38.71
26-05-2001,38.97
27-05-2001,39.41
28-05-2001,39.05
29-05-2001,37.58
30-05-2001,34.08
31-05-2001,34.35
01-06-2001,35.53
02-06-2001,36.94
03-06-2001,35.49
04-06-2001,32.86
05-06-2001,34.43
06-06-2001,36.47
07-06-2001,38.09
08-06-2001,37.56
09-06-2001,37.76
10-06-2001,38.4
11-06-2001,38.34
12-06-2001,37.83
13-06-2001,35.47
14-06-2001,32.97
15-06-2001,33.23
16-06-2001,34.79
17-06-2001,34.33
18-06-2001,30.37
19-06-2001,30.43
20-06-2001,28.97
21-06-2001,29.92
22-06-2001,30.79
23-06-2001,30.8
24-06-2001,31.45
25-06-2001,30.32
26-06-2001,31.06
27-06-2001,30.94
28-06-2001,30.4
29-06-2001,30.92
30-06-2001,30.47
01-07-2001,30.6
02-07-2001,31.08
03-07-2001,31.48
04-07-2001,33.3
05-07-2001,33.35
06-07-2001,33.31
07-07-2001,32.21
08-07-2001,31.23
09-07-2001,31.33
10-07-2001,31.16
11-07-2001,31.58
12-07-2001,31.37
13-07-2001,31.66
14-07-2001,31.35
15-07-2001,29.49
16-07-2001,29.76
17-07-2001,29.52
18-07-2001,30.96
19-07-2001,30.89
20-07-2001,29.17
21-07-2001,30.81
22-07-2001,31.24
23-07-2001,32.04
24-07-2001,31.7
25-07-2001,30.84
26-07-2001,31.57
27-07-2001,32.5
28-07-2001,32.15
29-07-2001,30.4
30-07-2001,28.37
31-07-2001,29.42
01-08-2001,30.04
02-08-2001,31.09
03-08-2001,30.46
04-08-2001,31.15
05-08-2001,31.25
06-08-2001,28.65
07-08-2001,30.54
08-08-2001,30.87
09-08-2001,31.07
10-08-2001,31.14
11-08-2001,32.01
12-08-2001,32.43
13-08-2001,32.07
14-08-2001,31.61
15-08-2001,32.03
16-08-2001,32.9
17-08-2001,32.69
18-08-2001,31.4
19-08-2001,32.28
20-08-2001,32.15
21-08-2001,31.26
22-08-2001,29.75
23-08-2001,28.59
24-08-2001,28.94
25-08-2001,29.62
26-08-2001,30.81
27-08-2001,30.12
28-08-2001,29.58
29-08-2001,29.81
30-08-2001,29.47
31-08-2001,27.67
01-09-2001,26.81
02-09-2001,27.08
03-09-2001,27.9
04-09-2001,26.74
05-09-2001,28.05
06-09-2001,26.33
07-09-2001,26.77
08-09-2001,26.55
09-09-2001,27.96
10-09-2001,28.4
11-09-2001,27.42
12-09-2001,26.22
13-09-2001,25.98
14-09-2001,26.01
15-09-2001,27.2
16-09-2001,28.29
17-09-2001,27.87
18-09-2001,27.28
19-09-2001,26.45
20-09-2001,26.99
21-09-2001,27.55
22-09-2001,28.38
23-09-2001,28.48
24-09-2001,27.81
25-09-2001,26.95
26-09-2001,27.36
27-09-2001,28.06
28-09-2001,28.26
29-09-2001,27.61
30-09-2001,26.69
01-10-2001,25.66
02-10-2001,24.68
03-10-2001,25.43
04-10-2001,25.78
05-10-2001,25.37
06-10-2001,24.94
07-10-2001,26.33
08-10-2001,26.65
09-10-2001,26.23
10-10-2001,26.08
11-10-2001,26.72
12-10-2001,26.09
13-10-2001,26.33
14-10-2001,25.19
15-10-2001,24.66
16-10-2001,24.06
17-10-2001,23.62
18-10-2001,23.16
19-10-2001,23.26
20-10-2001,23.45
21-10-2001,24.31
22-10-2001,25.12
23-10-2001,25.47
24-10-2001,25.3
25-10-2001,24.36
26-10-2001,23.68
27-10-2001,24.53
28-10-2001,24.71
29-10-2001,24.58
30-10-2001,25.39
31-10-2001,24.52
01-11-2001,23
02-11-2001,23.16
03-11-2001,23.69
04-11-2001,23.81
05-11-2001,23.61
06-11-2001,23.51
07-11-2001,22.88
08-11-2001,22.36
09-11-2001,21.8
10-11-2001,20.97
11-11-2001,20.83
12-11-2001,20.93
13-11-2001,20.49
14-11-2001,19.79
15-11-2001,19.28
16-11-2001,20.4
17-11-2001,21.16
18-11-2001,20.33
19-11-2001,19.75
20-11-2001,19.94
21-11-2001,19.15
22-11-2001,18.55
23-11-2001,18.35
24-11-2001,17.83
25-11-2001,17.4
26-11-2001,16.45
27-11-2001,17.15
28-11-2001,16.71
29-11-2001,16.06
30-11-2001,15.15
01-12-2001,14.85
02-12-2001,14.69
03-12-2001,14.21
04-12-2001,14.43
05-12-2001,13.4
06-12-2001,13.9
07-12-2001,14.05
08-12-2001,14.46
09-12-2001,14.22
10-12-2001,14.23
11-12-2001,14.99
12-12-2001,14.98
13-12-2001,15.33
14-12-2001,15.63
15-12-2001,14.3
16-12-2001,13.81
17-12-2001,14.59
18-12-2001,14.72
19-12-2001,15.44
20-12-2001,15.21
21-12-2001,15.39
22-12-2001,15.54
23-12-2001,15.36
24-12-2001,15.41
25-12-2001,15.12
26-12-2001,13.94
27-12-2001,14.59
28-12-2001,14.22
29-12-2001,14.11
30-12-2001,13.16
31-12-2001,12.44
01-01-2002,12.17
02-01-2002,12.58
03-01-2002,13.3
04-01-2002,14.01
05-01-2002,14.42
06-01-2002,13.45
07-01-2002,14.87
08-01-2002,15.31
09-01-2002,15
10-01-2002,14.69
11-01-2002,11.68
12-01-2002,10.61
13-01-2002,9.98
14-01-2002,13.87
15-01-2002,16.23
16-01-2002,17.5
17-01-2002,18.55
18-01-2002,19.39
19-01-2002,20.5
20-01-2002,18.68
21-01-2002,19.15
22-01-2002,19.52
23-01-2002,19.02
24-01-2002,14.51
25-01-2002,13.99
26-01-2002,15.4
27-01-2002,16.17
28-01-2002,14.48
29-01-2002,15.62
30-01-2002,15.43
31-01-2002,15.55
